strain,sequenced,genome_length_bp,n_small_circular_contigs,n_prophages_depht,n_prophages_html,prophage_names,prophage_lengths,prophage_coords,n_defense_df,n_rm_df,rm_subtypes,df_system_types,df_subtypes,n_defense_padloc,n_rm_padloc,n_rm_dedup,total_defense_systems,assembly_type,species,subspecies,institution,country,eop_phages_tested,eop1_full_count,eop1_fraction,dcc,prophage_clusters,n_prophage_clusters,eop1_phages,eop1_count,eop_partial_phages,eop_partial_count,morphology,morphology_flag,...36,killing_phages,killing_count,killing_flag,phage_susceptible,phage_partial_infection,n_defense_islands,n_defense_island_systems,defense_island_types,defense_island_spots
GD01,TRUE,4901034,0,0,0,NA,NA,NA,5,1,RM_I,AbiAlpha|CBASS|Other_Type_IV|RM_Type_I|Wadjet,AbiAlpha|CBASS_II_Phospholipase|N6_RM_Type_I|Other_Type_IV|Wadjet_I,11,0,1,16,NA,M. abscessus,massiliense,"Great Ormond Street Hospital, London",United Kingdom,22,7,0.3182,DCC7,NA,0,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|Muddy|ZoeJdel43-45|Itos|Isca_cpm1|Keshu del rep,7,NA,0,R,FALSE,TRUE,BPs|Muddy|ZoeJ,3,TRUE,TRUE,FALSE,2,2,AbiAlpha|Other_Type_IV,spot_14
GD02,TRUE,4966733,2,2,2,prophiGD02_1-1|prophiGD02_1-2,60552|41376,220319-280510|2083285-2123959,7,1,RM_I,AbiAlpha|Butters_gp57r|Hma|RM_Type_I|RosmerTA|Shedu|Wadjet,AbiAlpha|Butters_gp57r|Hma|N6_RM_Type_I|RosmerTA|Shedu|Wadjet_I,14,0,1,21,NA,M. abscessus,massiliense,"Great Ormond Street Hospital, London",United Kingdom,27,1,0.037,DCC3,IA|HN,2,Elmo_HRMmc(2)155,1,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,3,5,Butters_gp57r|Hma|RM_Type_I|RosmerTA|Shedu,spot_13|spot_29|spot_34
GD03,TRUE,5007430,1,1,1,prophiGD03_1-1,54821,1176933-1230293,0,0,NA,NA,NA,10,0,0,10,NA,M. abscessus,massiliense,University of Washington,NA,32,0,0,Non-DCC,HG,1,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD04,TRUE,5118585,1,1,1,prophiGD04_4-1,60432,67864-127770,5,1,RM_I,AbiAlpha|Butters_gp57r|RM_Type_I|Wadjet,AbiAlpha|Butters_gp57r|N6_RM_Type_I|Wadjet_I,8,0,1,13,NA,M. abscessus,massiliense,Childrens Hospital Los Angeles California,USA,33,1,0.0303,DCC3,HE,1,Muddy_HRM-GD04,1,NA,0,S,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,3,3,Butters_gp57r|RM_Type_I,spot_18|spot_30|spot_46
GD05,TRUE,5352395,0,4,4,prophiGD05-1|prophiGD05-2|prophiGD05-3|prophiGD05-4,43903|60897|55492|43618,3164539-4871171|3677154-3737506|3759601-3813365|4832575-4875620,7,1,RM_IIG,AbiAlpha|Avs|CBASS|RM_Type_IIG|RosmerTA|Wadjet,AbiAlpha|Avs5|CBASS_II_Phospholipase|N6_RM_Type_IIG|RosmerTA|Wadjet_I,11,1,1,18,NA,M. abscessus,abscessus,Naval Medical Research Center /Wake Forest Baptist Health,USA,19,0,0,DCC5,HH|HD|HC|HH,3,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,4,4,Avs|CBASS|RosmerTA,spot_20|spot_3|spot_8
GD07,TRUE,4285133,0,0,0,NA,NA,NA,8,1,RM_IIG|RM_IV,AbiE|Cas|Charlie_gp32|DarTG|Esos|Phrann_gp29_gp30|RM_Type_IIG,AbiE|CAS_Class1-Subtype-III-A|Charlie_gp32|DarTG|Esos|N6_RM_Type_IIG|Phrann_gp29_gp30,18,2,2,26,NA,M. bovis,NA,"Great Ormond Street Hospital, London",United Kingdom,11,7,0.6364,NA,NA,0,Muddy|Muddy_HRM-GD04|Fionnbharthdel45del47|Fred313_cpm1|Isca_cpm1|D29|Wintermute,7,NA,0,No Morphology,FALSE,TRUE,Muddy|D29|Fionnbharth|Fred313,4,TRUE,TRUE,FALSE,0,0,NA,NA
GD08,TRUE,5188815,1,3,3,prophiGD08_1-1|prophiGD08_3-1|prophiGD08_3-2,40079|58479|52601,1473491-1512963|2700-59837|711939-764123,7,0,NA,AbiAlpha|Aristaios|CBASS|Dag|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dag|Dnd_ABCDE|Hna|Wadjet_I,13,0,0,20,NA,M. abscessus,abscessus,Indiana University,USA,29,4,0.1379,DCC1,HB|HA|HF,3,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|Itos|phiGD89A-1,4,GD59SF/phiGD57-1,1,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,3,3,CBASS|Hna|Wadjet,spot_3|spot_32
GD09,TRUE,5036009,0,0,0,NA,NA,NA,9,2,RM_I|RM_III,AbiAlpha|Armada|DRT|Dag|RM_Type_I|RM_Type_III|RloC|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|DRT9|Dag|N6_N4_RM_Type_III|N6_RM_Type_I|RloC|Thoeris_VII|Wadjet_I,10,0,2,19,NA,M. abscessus,abscessus,Haga Hospital,Netherlands,32,0,0,DCC2,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,3,5,DRT|Dag|RM_Type_III|RloC|Wadjet,NA
GD10,TRUE,5069621,1,1,1,prophiGD10_11-1,45735,145-45712,9,3,RM_I|RM_IIG,AbiAlpha|CBASS|Lamassu-Fam|Other_Type_IV|RM_Type_I|RM_Type_IIG|Wadjet,AbiAlpha|CBASS_II_Phospholipase|CBASS_I_TM|Lamassu_Cap4|N6_RM_Type_I|N6_RM_Type_IIG|Other_Type_IV|Wadjet_I,15,1,3,24,NA,M. abscessus,massiliense,UPMC Pittsburgh,NA,11,2,0.1818,DCC7,HA,1,Muddy|Muddy_HRM-GD04,2,NA,0,R,FALSE,TRUE,Muddy,1,TRUE,TRUE,FALSE,2,4,CBASS|RM_Type_I|RM_Type_IIG,spot_44
GD100A,TRUE,5132669,1,2,2,prophiGD100A-1|prophiGD100A-2,69032|50828,1753818-2638595|3884833-3935044,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,Penn Medicine,USA,23,0,0,DCC1,HA|HC,2,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,3,3,AbiAlpha|Aristaios|CBASS,spot_3|spot_32|spot_49
